title,url,ingredients,steps,uuid
Arepas de Queso,https://www.mycolombianrecipes.com/es/arepas-de-queso/,"1 taza de harina de arepa blanca o amarilla
1 taza de agua tibia
⅓ taza de queso mozzarella o queso blanco rallado
2 cucharadas de mantequilla
Sal","Combine la harina de maíz, agua caliente, el queso, la mantequilla y sal, mezclando bien. Deje que la mezcla repose durante cinco minutos.
Amasar con las manos durante unos 3 minutos humedeciendo las manos con agua mientras amasa.
Formar 4 bolas con la masa. Coloque cada bola entre 2 bolsas de plástico y con una cubierta olla aplane a ½ de pulgada.
Añadir la mantequilla en una sartén antiadherente a fuego medio. Coloque las arepas en la sartén y cocine durante aproximadamente 3 minutos de cada lado, hasta que estén doradas.",86af61e4-e16a-11ed-9591-a96d6180cd25
Sudado de Pollo,https://www.mycolombianrecipes.com/es/sudado-de-pollo/,"8 muslos de pollo sin la piel
1 cucharada de aceite vegetal
½ taza de cebolla picada
½ de taza de pimientón rojo picado
1 diente de ajo picado
2 tazas de tomate picado
1 cucharada de Sazuón con azafran
½ cucharadita de comino en polvo
½ de taza de cilantro fresco picado
½ de cucharadita de sal
½ cucharadita de pimienta
8 papas pequeuñas amarillas peladas y cortadas por la mitad
3 tazas de caldo de pollo","En una olla grande, caliente el aceite vegetal a fuego medio.
Añadir la cebolla y el pimiento rojo y saltee hasta que las cebollas estén transparentes, unos 3 minutos. A continuaciuón, auñadir los tomates, el ajo, la sal y la pimienta molida y sofría por 5 minutos muás.
Agregue el pollo, el caldo de pollo, la sazuón y comino en polvo.
Tapar y cocinar durante 25 minutos, revolviendo ocasionalmente.
Añadir las papas y el cilantro y cocine por 30 minutos muás o hasta que las papas estén tiernas. Sirva sobre arroz blanco.",86af61e5-e16a-11ed-abef-a96d6180cd25
Sancocho Trifásico,https://www.mycolombianrecipes.com/es/sancocho-trifasico/,"1 taza de cebolla picada
1 pimientón rojo finamente picado
4 dientes de ajo picados
1 cucharadita de comino molido
Un cuarto de cucharadita de achiote
3 mazorcas de maíz cortado en 3 piezas
12 tazas de agua o más si es necesario
8 piezas de pollo
1 libra de carne de cerdo o costillas de cerdo
1 libra de carne de res cortada en trozos
2 plátanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas
4 papas blancas medianas peladas y cortadas por la mitad
1 libra de yuca en trozos grandes
Un cuarto de taza de cilantro fresco picado
Un cuarto de cucharadita de pimienta molida
1 cucharadita de sal","Coloque la cebolla, el pimientón, el ajo y el comino en la licuadora con ¼ taza de agua.
En una olla grande, colocar la carne de res, cerdo, pollo, maíz, mezcla de cebolla, sal y plátano verde. Añadir el agua y llevar a hervir, tapar y bajar el fuego a medio y cocinar durante unos 45 minutos.
Añadir las papas y yuca. Continuar cocinando durante 30 minutos más o hasta que las verduras estén blandas. Agregue el cilantro.
Pruebe y ajuste la sazón. Servir en platos grandes de sopa, dividir la carne, el pollo y los vegetales de manera uniforme.",86af61e6-e16a-11ed-bcf5-a96d6180cd25
Sudado de Posta o Muchacho,https://www.mycolombianrecipes.com/es/sudado-de-posta-o-muchacho/,"1 posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas
2 tazas de caldo de carne
3 tazas de agua
1 taza de salsa de aliños ver la receta aquí
2 tazas de tomate picado
1 cucharadita  de comino en polvo
½ cucharadita de sazón con el color
Sal y pimienta al gusto
8 papas pequeñas enteras peladas
½ libra de yuca fresca o congelada
Cilantro fresco","En una olla  grande ponga la carne, el caldo, el agua, la salsa de aliños, los tomates, sazón y comino en polvo. Llevar a hervir, baje el fuego a medio-bajo y cocine durante aproximadamente 1 hora y 30 minutos, revolviendo ocasionalmente. Añadir sal y pimienta al gusto y añadir más agua si es necesario.
Añadir las papas y la yuca,cocinar durante otros 30 a 45 minutos, hasta que las verduras y la carne estén tiernas. Espolvorear cilantro fresco y servir con arroz blanco.",86af61e7-e16a-11ed-8914-a96d6180cd25
Sopa de Lentejas Colombiana,https://www.mycolombianrecipes.com/es/sopa-de-lentejas-colombiana/,"1 cucharadita de aceite vegetal
1 taza de chorizo en rodajas
½ taza de cebolla picada
1 diente de ajo picado
½ taza de cebolla larga picada
½ taza de tomates picados
5 tazas de agua
1 taza de lentejas
½ cucharadita de sal
½ cucharadita de pimienta
½ taza de zanahorias ralladas
½ taza de papas cortadas en trozos
½ cucharadita de comino en polvo","Cocinar el chorizo en el aceite en una olla grande a fuego medio, revolviendo de vez en cuando, unos 5 minutos. Con una cuchara ranurada, transfiera el chorizo a un plato cubierto con papel toalla.
Agregue las zanahorias, la cebolla, el ajo, el tomate y cebolla larga a la olla, sazonar con sal y pimienta. Cocine revolviendo ocasionalmente unos 12 minutos. Agregue el comino y cocinar 1 minuto más.
Añadir las lentejas y el agua, llevar a hervir. Luego baje el fuego a medio-bajo, tape y cocine hasta que las lentejas estuén suaves pero no blandas unos 45 minutos.
Añadir el chorizo y papas, cocinar por 15 a 20 minutos hasta que las papas estén bien cocidas y tiernas. Agregue más agua si es necesario. Servir inmediatamente.",86af71bc-e16a-11ed-b130-a96d6180cd25
Camarones con Salsa de Cilantro,https://www.mycolombianrecipes.com/es/camarones-con-salsa-de-cilantro/,"4 cucharadas de aceite de oliva
4 dientes de ajo finamente picados
1 cucharaditas de hojuelas de pimientón rojo
1 cucharadita de comino molido
1 libra de camarones pelados y limpios
1 taza de cilantro fresco
2 cebollas largas picadas
2 tazas de crema de leche
Sal y pimienta al gusto","En una sartén a fuego medio, caliente el aceite. Agregue los camarones y cocine, revolviendo, hasta que este rosados, unos 4 minutos. Llévelos a un plato.
Regresar la sartén a fuego medio. Agregue el ajo y el pimentón, y saltee hasta que esté suave, aproximadamente 30 segundos. Coloque el cilantro, cebolla larga y crema en una licuadora y mezcle hasta que estén bien combinados.
Añadir la salsa a la sartén y cocine por 1 minuto. Devuelva el camarón a la sartén y revuelva para cubrir con la salsa. Pruebe y ajuste la sazón con sal y pimienta y servir inmediatamente.",86af71bd-e16a-11ed-be2a-a96d6180cd25
Bistec a la Criolla,https://www.mycolombianrecipes.com/es/bistec-a-la-criolla/,"2 libras de carne de bistec falda, cortado en 4 porciones iguales
1 ½ cucharadas de aceite vegetal
2 dientes de ajo picados
½ cucharada de mostaza
1 cucharada de comino molido
Sal y pimienta negra
2 cucharadas de cilantro fresco picado
2 tazas de hogao ver la receta aquí","Coloque los filetes entre plastico, golpee hasta que cada pedazo de carne este bien delgado.
Coloque los filetes machacados en una bolsa de plástico con cierre. Añadir la mostaza, el comino, el ajo, el cilantro, la sal y la pimienta.
Refrigerar por 1 hora o toda la noche. Asegúrese de que los filetes esten cubiertas de manera uniforme.
En una sartén grande, caliente el aceite a fuego medio. Coloque los filetes en la sartén y cocine 3 minutos por cada lado. Añadir el hogao, tape y cocine durante 7 minutos más.",86af71be-e16a-11ed-afa4-a96d6180cd25
Arepas de Yuca,https://www.mycolombianrecipes.com/es/arepas-de-yuca/,"1 libra de yuca cocida
Media taza de Masarepa
2 cucharadas de leche
2 cucharadas de mantequilla derretida
Un cuarto de taza de queso mozzarella rallado o queso blanco
Sal al gusto
Mantequilla para cocinar las arepas","Triturar la yuca y agregue la masarepa, la leche, la mantequilla y la sal a su gusto. Deje que la mezcla repose durante cinco minutos.
Hacer bolitas con la mezcla de yuca. Forma la masa en tortas gruesas
Añadir la mantequilla en una sartén antiadherente a fuego medio. Coloque las arepas en la sartén y cocine durante aproximadamente 3 minutos de cada lado, hasta que se forme una costra o que estén doradas.",86af71bf-e16a-11ed-b6df-a96d6180cd25
Sopa de Lentejas con Carne,https://www.mycolombianrecipes.com/es/sopa-de-lentejas-con-carne-colombiana/,"1 taza de salsa de aliños ver receta aquí
2 zanahorias grandes peladas y cortadas en cubitos
Sal y pimienta al gusto
1 libra de carne de res cortada en trozos
½ libra de lentejas lavadas
8 tazas de caldo de carne
½ cucharadita de achiote molido o color
1 cucharadita de comino molido
3 papas blancas medianas peladas y en cubitos
¼ taza de cilantro fresco picado","Ponga la salsa de aliños, zanahorias, carne de res, las lentejas, el caldo, el achiote, comino y revuelva para mezclar. Suba el fuego a alto y llevar a hervir.
Reduzca el fuego a bajo, tape y cocine a fuego lento hasta que la carne y las lentejas estén tiernas, aproximadamente 35 a 40 minutos.
Añadir las papas. Cocine a fuego lento durante unos 25 a 30 minutos o hasta que las papas estén tiernas.
Agregue el cilantro picado y sazone con sal a su gusto. Servir con arroz blanco.",86af71c0-e16a-11ed-924d-a96d6180cd25
Bistec Encebollado,https://www.mycolombianrecipes.com/es/bistec-encebollado/,"2 libras de carne de falda o filete
3 dientes de ajo picados
Aceite de oliva
1 cucharadita de mostaza
1 cucharada de comino
Sal y pimienta
2 cebollas pequeñas en rodajas finas
2 cucharadas de mantequilla
1 to mate finamente picado
3 cucharadas de salsa negra
3 cucharadas de vino tinto","Coloque los filetes entre plastico, machaque hasta que esten delgados.
Coloque los filetes machacados en una bolsa de plástico. Añadir la mostaza, el comino, el ajo, una cuchara de aceite de oliva, sal y pimienta. Refrigerar durante 3 horas o toda la noche. Asegúrese de que los filetes están cubiertas de manera uniforme.
En una sartén grande, caliente la mantequilla a fuego medio. Agregar la cebolla y cocinar durante unos 10 minutos. Añadir el tomate, salsa inglesa, el vino, la sal y la pimienta. Continuar la cocción durante unos 10 minutos muás, revolviendo de vez en cuando.
En una sartén grande, caliente el aceite a fuego medio. Coloque los filetes en la sartén y cocine durante 5 minutos por cada lado. Añadir la salsa de cebolla, mezclar y servir.",86af71c1-e16a-11ed-9673-a96d6180cd25
